image_path,road_code,road_name,segment_start,segment_end,lat_centroid,lon_centroid,survey_year,region,station,vci,vvci,all_cracking_grade,wide_cracking_grade,ravelling_grade,bleeding_grade,drainage_road_grade,pothole_grade,split
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05799.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05800.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05801.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05802.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05803.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05804.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05805.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05806.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05807.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05808.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05809.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05810.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05811.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05812.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05813.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05814.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05815.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05816.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05817.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05818.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05819.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05820.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05821.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05822.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05823.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05824.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05825.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05826.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05827.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05828.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05829.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05830.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05831.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05832.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05833.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05834.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05835.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05836.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05837.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05838.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05839.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05840.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05841.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05842.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05843.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05844.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05845.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05846.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05847.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05848.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05849.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05850.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05851.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05852.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05853.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05854.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05855.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05856.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05857.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05858.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05859.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05860.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05861.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05862.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05863.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05864.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05865.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05866.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05867.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05868.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05869.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05870.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05871.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05872.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05873.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05874.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05875.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05876.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05877.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05878.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05879.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05880.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05881.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05882.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05883.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05884.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05885.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05886.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05887.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05888.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05889.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05890.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05891.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05892.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05893.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05894.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05895.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05896.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05897.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05898.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/NJERU-JINJA(DUAL)-PAVE-0-00001.jpg,609,A001N1,0.0,0.545,0.4454265,33.197714000000005,2022.0,Central,Kampala,86.0,84.05797101449275,2,2,2,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/NJERU-JINJA(DUAL)-PAVE-0-00002.jpg,609,A001N1,0.0,0.545,0.4454265,33.197714000000005,2022.0,Central,Kampala,86.0,84.05797101449275,2,2,2,1,1,1,train
